📡  电信广电,#genre#
CCTV1,http://xdnas.teop.cn:8189/udp/239.93.0.184:5140
CCTV2,http://xdnas.teop.cn:8189/udp/239.93.1.23:6000
CCTV3,http://xdnas.teop.cn:8189/udp/239.93.0.11:5140
CCTV4,http://xdnas.teop.cn:8189/udp/239.94.0.4:5140
CCTV5,http://xdnas.teop.cn:8189/udp/239.93.0.12:5140
CCTV6,http://xdnas.teop.cn:8189/udp/239.93.0.13:5140
CCTV7,http://xdnas.teop.cn:8189/udp/239.93.1.67:5140
CCTV8,http://xdnas.teop.cn:8189/udp/239.93.42.104:5140
CCTV9,http://xdnas.teop.cn:8189/udp/239.94.0.9:5140
CCTV10,http://xdnas.teop.cn:8189/udp/239.94.0.10:5140
CCTV11,http://xdnas.teop.cn:8189/udp/239.93.42.105:5140
CCTV12,http://xdnas.teop.cn:8189/udp/239.93.1.30:8124
CCTV13,http://xdnas.teop.cn:8189/udp/239.93.0.99:5140
CCTV14,http://xdnas.teop.cn:8189/udp/239.93.1.29:6000
CCTV15,http://xdnas.teop.cn:8189/udp/239.93.42.106:5140
CCTV16 4k,http://xdnas.teop.cn:8189/udp/239.93.42.54:5140
CCTV17,http://xdnas.teop.cn:8189/udp/239.94.0.39:5140
四川卫视,http://xdnas.teop.cn:8189/udp/239.93.0.169:5140
CDTV-1,http://xdnas.teop.cn:8189/udp/239.93.0.16:5140
CCTV-4K,http://xdnas.teop.cn:8189/udp/239.93.42.42:5140
爱上4K,http://xdnas.teop.cn:8189/udp/239.93.0.97:5140
CGTN,http://xdnas.teop.cn:8189/udp/239.93.42.108:5140
CCTV5＋,http://xdnas.teop.cn:8189/udp/239.93.1.173:5140
湖南卫视,http://xdnas.teop.cn:8189/udp/239.93.0.88:5140
江苏卫视,http://xdnas.teop.cn:8189/udp/239.93.0.89:5140
浙江卫视,http://xdnas.teop.cn:8189/udp/239.93.0.124:5140
东方卫视,http://xdnas.teop.cn:8189/udp/239.93.0.123:5140
北京卫视,http://xdnas.teop.cn:8189/udp/239.93.0.180:5140
深圳卫视,http://xdnas.teop.cn:8189/udp/239.93.0.182:5140
广东卫视,http://xdnas.teop.cn:8189/udp/239.93.0.181:5140
天津卫视,http://xdnas.teop.cn:8189/udp/239.93.0.167:5140
山东卫视,http://xdnas.teop.cn:8189/udp/239.93.0.168:5140
康巴卫视,http://xdnas.teop.cn:8189/udp/239.93.0.41:5140
江西卫视,http://xdnas.teop.cn:8189/udp/239.93.0.134:5140
东南卫视,http://xdnas.teop.cn:8189/udp/239.93.0.42:5140
黑龙江卫视,http://xdnas.teop.cn:8189/udp/239.93.0.183:5140
贵州卫视,http://xdnas.teop.cn:8189/udp/239.94.0.83:5140
湖北卫视,http://xdnas.teop.cn:8189/udp/239.93.0.250:5140
安徽卫视,http://xdnas.teop.cn:8189/udp/239.93.1.106:5140
河北卫视,http://xdnas.teop.cn:8189/udp/239.93.0.132:5140
中国交通,http://xdnas.teop.cn:8189/udp/239.94.0.87:5140
河南卫视,http://xdnas.teop.cn:8189/udp/239.93.42.45:5140
广西卫视,http://xdnas.teop.cn:8189/udp/239.93.42.46:5140
云南卫视,http://xdnas.teop.cn:8189/udp/239.93.1.174:5140
吉林卫视,http://xdnas.teop.cn:8189/udp/239.93.0.248:5140
陕西卫视,http://xdnas.teop.cn:8189/udp/239.94.0.92:5140
山西卫视,http://xdnas.teop.cn:8189/udp/239.93.0.127:5140
内蒙古卫视,http://xdnas.teop.cn:8189/udp/239.94.0.94:5140
青海卫视,http://xdnas.teop.cn:8189/udp/239.94.0.95:5140
宁夏卫视,http://xdnas.teop.cn:8189/udp/239.94.0.96:5140
西藏卫视,http://xdnas.teop.cn:8189/udp/239.94.0.97:5140
新疆卫视,http://xdnas.teop.cn:8189/udp/239.93.0.82:5140
甘肃卫视,http://xdnas.teop.cn:8189/udp/239.93.0.81:5140
海南卫视,http://xdnas.teop.cn:8189/udp/239.94.0.100:5140
辽宁卫视,http://xdnas.teop.cn:8189/udp/239.94.0.101:5140
兵团卫视,http://xdnas.teop.cn:8189/udp/239.93.42.43:5140
峨眉电影,http://xdnas.teop.cn:8189/udp/239.93.0.252:5140
厦门卫视,http://xdnas.teop.cn:8189/udp/239.94.0.104:5140
三沙卫视,http://xdnas.teop.cn:8189/udp/239.94.0.105:5140
山东教育卫视,http://xdnas.teop.cn:8189/udp/239.94.0.106:5140
延边卫视,http://xdnas.teop.cn:8189/udp/239.94.0.107:5140
北京纪实科教,http://xdnas.teop.cn:8189/udp/239.94.0.109:5140
安多卫视,http://xdnas.teop.cn:8189/udp/239.94.0.110:5140
重庆卫视,http://xdnas.teop.cn:8189/udp/239.93.0.112:5140
金鹰纪实,http://xdnas.teop.cn:8189/udp/239.94.1.1:5140
CETV-1,http://xdnas.teop.cn:8189/udp/239.94.1.2:5140
熊猫新闻,http://xdnas.teop.cn:8189/udp/239.94.1.3:5140
熊猫体娱,http://xdnas.teop.cn:8189/udp/239.93.0.94:5140
熊猫少儿,http://xdnas.teop.cn:8189/udp/239.94.1.5:5140
熊猫影院,http://xdnas.teop.cn:8189/udp/239.94.1.6:5140
云看熊猫,http://xdnas.teop.cn:8189/udp/239.94.1.7:5140
金熊猫卡通,http://xdnas.teop.cn:8189/udp/239.94.1.8:5140
炫动卡通,http://xdnas.teop.cn:8189/udp/239.93.0.173:5140
嘉佳卡通,http://xdnas.teop.cn:8189/udp/239.93.0.246:5140
熊猫爱生活,http://xdnas.teop.cn:8189/udp/239.94.1.11:5140
大爱四川,http://xdnas.teop.cn:8189/udp/239.94.1.12:5140
大爱旅游,http://xdnas.teop.cn:8189/udp/239.93.42.70:5140
大爱生活,http://xdnas.teop.cn:8189/udp/239.93.42.71:5140
大爱时尚,http://xdnas.teop.cn:8189/udp/239.94.1.15:5140
梨园,http://xdnas.teop.cn:8189/udp/239.94.1.16:5140
家政频道,http://xdnas.teop.cn:8189/udp/239.93.42.48:5140
CETV-2,http://xdnas.teop.cn:8189/udp/239.94.1.19:5140
CETV-4,http://xdnas.teop.cn:8189/udp/239.94.1.20:5140
经典电影,http://xdnas.teop.cn:8189/udp/239.93.0.57:9024
华语影院,http://xdnas.teop.cn:8189/udp/239.94.1.22:5140
星光院线,http://xdnas.teop.cn:8189/udp/239.93.42.87:5140
全球大片,http://xdnas.teop.cn:8189/udp/239.94.1.24:5140
热播剧场,http://xdnas.teop.cn:8189/udp/239.93.0.56:9020
热门剧场,http://xdnas.teop.cn:8189/udp/239.93.42.88:5140
健康养生,http://xdnas.teop.cn:8189/udp/239.93.42.84:5140
谍战剧场,http://xdnas.teop.cn:8189/udp/239.93.42.91:5140
卡酷动画,http://xdnas.teop.cn:8189/udp/239.93.42.1:5140
