1091k  125.34.48.39:7077
1070k  114.243.103.123:8686
1070k  114.243.103.123:8686
1042k  123.113.15.147:4022
1022k  114.252.239.29:8000
1007k  111.193.238.3:9999
938k  123.113.15.147:4022
934k  111.193.238.3:9999
927k  114.252.239.29:8000
843k  114.241.200.178:8888
834k  114.241.200.178:8888
826k  114.241.200.178:8888
826k  114.241.200.178:8888
807k  114.241.200.178:8888
798k  114.241.200.178:8888
772k  114.241.200.178:8888
768k  114.252.239.29:8000
675k  123.115.118.228:9000
666k  123.115.118.228:9000
428k  123.113.15.147:4022
366k  111.196.129.187:20000
342k  111.196.129.187:20000
323k  111.196.129.187:20000
279k  111.196.129.187:20000
255k  111.196.129.187:20000
220k  114.252.239.29:8000
182k  111.196.129.187:20000
173k  114.252.239.29:8000
116k  114.252.239.29:8000
