1427k  171.213.139.204:9100
1128k  171.213.211.184:8088
1089k  171.213.139.207:8688
1044k  171.213.200.38:4022
1003k  221.237.15.27:4443
993k  171.213.139.207:8688
795k  171.213.237.147:8089
669k  171.213.200.38:4022
577k  171.213.202.49:8880
431k  171.213.200.38:4022
399k  171.213.200.38:4022
389k  171.213.211.184:8088
335k  171.213.217.186:4022
320k  171.213.211.30:8888
272k  171.213.217.186:4022
258k  171.213.237.147:8089
227k  183.222.206.14:8096
198k  182.139.204.138:8888
122k  183.222.206.14:8096
